#index Objname model texture size[fx,fy,fz] position[x y z] boxcollider[x y z] colliderpos_offset[x y z]
0 floor cube wood  [50 1 50]  [0 -1 0]  [0 0 0]  [0 -1 0] 
1 gate teapot color  [1 1 1]  [0 0 0]  [0.5 0.5 0.2]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 1]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 2]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 3]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 4]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 5]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 6]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 7]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 8]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 9]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 10]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 11]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 12]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 13]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [0 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [1 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 player player color  [0.1 0.1 0.1]  [1 0 1]  [2 1 2]  [0 0 0] 
1 wall cube brick  [1 1 1]  [1 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [2 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 static_monster cannon wood  [0.5 0.5 0.5]  [2 0 2]  [0.5 0.5 0.5]  [0 0.2 0]
1 wall cube brick  [1 1 1]  [2 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [3 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 static_monster knot wood  [0.5 0.5 0.5]  [3 0 3]  [0.5 0.5 0.5]  [0 0.2 0] 
1 wall cube brick  [1 1 1]  [3 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [4 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 static_monster knot wood  [0.5 0.5 0.5]  [4 0 4]  [0.5 0.5 0.5]  [0 0.2 0] 
1 wall cube brick  [1 1 1]  [4 0 10]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [4 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [5 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [5 0 6]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [5 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [6 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 moving_monster sphere wood  [0.5 0.5 0.5]  [6 0 6]  [0.5 0.5 0.5]  [0 0.2 0] 
1 moving_monster sphere wood  [0.5 0.5 0.5]  [6 0 7]  [0.5 0.5 0.5]  [0 0.2 0] 
1 wall cube brick  [1 1 1]  [6 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [7 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 moving_monster sphere wood  [0.5 0.5 0.5]  [7 0 7]  [0.5 0.5 0.5]  [0 0.2 0] 
1 wall cube brick  [1 1 1]  [7 0 8]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [7 0 13]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [7 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [8 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 moving_monster sphere wood  [0.5 0.5 0.5]  [8 0 8]  [0.5 0.5 0.5]  [0 0.2 0] 
1 wall cube brick  [1 1 1]  [8 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [9 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [9 0 4]  [0.7 0.7 0.7]  [0 0 0] 
1 moving_monster sphere wood  [0.5 0.5 0.5]  [9 0 9]  [0.5 0.5 0.5]  [0 0.2 0] 
1 wall cube brick  [1 1 1]  [9 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [10 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [10 0 1]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [10 0 6]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [10 0 8]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [10 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [11 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [11 0 11]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [11 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [12 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [12 0 3]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [12 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [13 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [13 0 14]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 0]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 1]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 2]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 3]  [0.7 0.7 0.7]  [0 0 0] 
